Silverfish,18.0,7.15299987793,1.0000
Creeper,10.0,5.85399985313,1.0000
Wolf,20.0,9.03100013733,1.0000
Blaze,0,30.0409998894,0.0000
Zombie Pigman,15.0,13.7839999199,1.0000
Cave Spider,16.0,5.06599998474,1.0000
Ghast,20.0,5.84299993515,1.0000
Skeleton,17.0,10.4650001526,1.0000
Endermite,15.0,7.66100001335,1.0000
Spider,19.0,7.59500002861,1.0000
Zombie,18.0,7.77699995041,1.0000
Witch,0,29.9689998627,0.0000
Silverfish,20.0,7.54699993134,1.0000
Creeper,8.0,6.43299984932,1.0000
Wolf,20.0,12.1130001545,1.0000
Zombie Pigman,20.0,11.9460000992,1.0000
Cave Spider,20.0,5.52800011635,1.0000
Ghast,20.0,2.66300010681,1.0000
Skeleton,17.0,7.19099998474,1.0000
Zombie,17.0,10.3389999866,1.0000
Witch,0,29.7269999981,0.0000
Silverfish,20.0,6.35099983215,1.0000
Creeper,9.0,4.28799986839,1.0000
Wolf,20.0,12.7230000496,1.0000
Blaze,0,22.6919999123,0.0000
Zombie Pigman,15.0,14.9299998283,1.0000
Cave Spider,16.0,5.00100016594,1.0000
Skeleton,18.0,6.71199989319,1.0000
Spider,19.0,6.41899991035,1.0000
Zombie,15.0,10.6649999619,1.0000
Silverfish,17.0,9.99300003052,1.0000
Creeper,14.0,4.07999992371,1.0000
Wolf,20.0,22.0230000019,1.0000
Blaze,16.0,26.0599999428,1.0000
Zombie Pigman,10.0,11.5599999428,1.0000
Cave Spider,17.0,6.65700006485,1.0000
Ghast,0,9.75900006294,0.0000
Skeleton,16.0,7.6779999733,1.0000
Endermite,20.0,5.74000000954,1.0000
Spider,20.0,7.68499994278,1.0000
Witch,0,29.5659999847,0.0000
Silverfish,20.0,4.69299983978,1.0000
Creeper,2.0,4.16499996185,1.0000
Wolf,20.0,9.39900016785,1.0000
Zombie Pigman,10.0,12.1519999504,1.0000
Cave Spider,16.0,7.41400003433,1.0000
Ghast,0,7.3109998703,0.0000
Skeleton,19.0,10.2780001163,1.0000
Endermite,20.0,6.80200004578,1.0000
Spider,15.0,7.76499986649,1.0000
Zombie,17.0,9.4470000267,1.0000
Witch,0,20.3509998322,0.0000
Silverfish,20.0,5.65700006485,1.0000
Creeper,4.0,4.25099992752,1.0000
Wolf,20.0,19.8580000401,1.0000
Blaze,0,29.8010001183,0.0000
Zombie Pigman,10.0,22.5320000648,1.0000
Cave Spider,15.0,6.1130001545,1.0000
Ghast,20.0,2.52400016785,1.0000
Skeleton,17.0,8.05099987984,1.0000
Endermite,18.0,7.09100008011,1.0000
Spider,15.0,7.49000000954,1.0000
Zombie,17.0,10.3899998665,1.0000
Witch,0,22.4440000057,0.0000
Silverfish,19.0,7.33299994469,1.0000
Creeper,10.0,5.96899986267,1.0000
Wolf,20.0,13.4240000248,1.0000
Blaze,0,17.0929999352,0.0000
Cave Spider,16.0,5.68400001526,1.0000
Ghast,20.0,2.06199979782,1.0000
Endermite,17.0,7.14899992943,1.0000
Spider,19.0,8.94000005722,1.0000
Zombie,17.0,7.71700000763,1.0000
Creeper,10.0,3.66000008583,1.0000
Wolf,20.0,18.7170000076,1.0000
Blaze,0,17.992000103,0.0000
Zombie Pigman,0,29.5520000458,0.0000
Cave Spider,15.0,8.32800006866,1.0000
Ghast,20.0,2.3710000515,1.0000
Skeleton,18.0,9.14199995995,1.0000
Endermite,16.0,7.8710000515,1.0000
Spider,18.0,5.50100016594,1.0000
Zombie,17.0,11.0360000134,1.0000
Witch,18.0,22.890999794,1.0000
Silverfish,20.0,5.04500007629,1.0000
Creeper,5.0,4.007999897,1.0000
Wolf,20.0,10.6190001965,1.0000
Blaze,0,28.5710000992,0.0000
Zombie Pigman,6.0,18.5050001144,1.0000
Cave Spider,16.0,5.90899991989,1.0000
Ghast,20.0,5.40799999237,1.0000
Skeleton,18.0,6.56299996376,1.0000
Endermite,20.0,3.86400008202,1.0000
Spider,18.0,5.08399987221,1.0000
Zombie,18.0,8.71099996567,1.0000
Witch,0,30.0570001602,0.0000
Silverfish,20.0,4.11100006104,1.0000
Wolf,20.0,4.83299994469,1.0000
Blaze,7.0,25.7330000401,1.0000
Zombie Pigman,15.0,26.1199998856,1.0000
Cave Spider,16.0,6.03500008583,1.0000
Ghast,0,14.7290000916,0.0000
Skeleton,20.0,6.55200004578,1.0000
Endermite,15.0,7.62800002098,1.0000
Spider,18.0,6.59800004959,1.0000
Zombie,17.0,9.11500000954,1.0000
Witch,0,29.9049999714,0.0000
